loss,accuracy,val_loss,val_accuracy,epoch,signal
0.7020588517189026,0.7307106852531433,1.171961784362793,0.689213216304779,0.0,
0.511236310005188,0.7966899275779724,1.2836408615112305,0.6760152578353882,1.0,
0.46805885434150696,0.8135469555854797,1.3372783660888672,0.6713197827339172,2.0,
0.446768581867218,0.8228743672370911,1.3830524682998657,0.6742808818817139,3.0,
0.43572625517845154,0.8264805674552917,1.4152042865753174,0.683671772480011,4.0,
0.4251645803451538,0.8312711715698242,1.385925531387329,0.6760152578353882,5.0,
0.4210238456726074,0.8331535458564758,1.3164377212524414,0.6780880093574524,6.0,
0.41071972250938416,0.8357762098312378,1.3340431451797485,0.6816412806510925,7.0,
0.41485902667045593,0.8351840376853943,1.4368021488189697,0.6792724132537842,8.0,
0.40680697560310364,0.837425947189331,1.356834888458252,0.6760575175285339,9.0,
,,,,,"[0.5892243981361389, 0.805031418800354]"
